week_start,week_end,rank,title,weeks_in_top10,views,runtime,hours_viewed,title_clean,season
2026-03-30,2026-04-05,7,Homicide: New York: Season 2,2,2600000,4:13,10800000,Homicide: New York,Season 2
2026-03-30,2026-04-05,8,Virgin River: Season 7,4,2400000,8:15,19900000,Virgin River,Season 7
2026-03-30,2026-04-05,9,Beauty in Black: Season 2,6,2300000,13:52,31700000,Beauty in Black,Season 2
2026-03-30,2026-04-05,10,Ripple: Season 1,1,2000000,5:35,11100000,Ripple,Season 1
2026-04-06,2026-04-12,1,Trust Me: The False Prophet: Season 1,3,9800000,3:17,32100000,Trust Me: The False Prophet,Season 1
2026-04-06,2026-04-12,2,"XO, Kitty: Season 3",3,7800000,4:20,34000000,"XO, Kitty",Season 3
2026-04-06,2026-04-12,3,Danny Go!: Season 1,4,5300000,2:02,10800000,Danny Go!,Season 1
2026-04-06,2026-04-12,4,Love on the Spectrum: Season 4,2,3500000,5:57,20600000,Love on the Spectrum,Season 4
2026-04-06,2026-04-12,5,Something Very Bad Is Going to Happen: Season 1,3,3100000,6:21,19700000,Something Very Bad Is Going to Happen,Season 1
2026-04-06,2026-04-12,6,"Raw: 2026 - April 6, 2026",1,2900000,1:46,5500000,Raw,"2026 - April 6, 2026"
2026-04-06,2026-04-12,7,The Cleaning Lady: Season 1,2,2800000,7:16,20200000,The Cleaning Lady,Season 1
2026-04-06,2026-04-12,8,Big Mistakes: Season 1,2,2700000,4:27,12200000,Big Mistakes,Season 1
2026-04-06,2026-04-12,9,ONE PIECE: Season 2,5,2200000,8:06,18200000,ONE PIECE,Season 2
2026-04-06,2026-04-12,10,Salish & Jordan Matter: Season 1,4,2100000,3:32,7400000,Salish & Jordan Matter,Season 1
2026-04-13,2026-04-19,1,Trust Me: The False Prophet: Season 1,3,6900000,3:17,22700000,Trust Me: The False Prophet,Season 1
2026-04-13,2026-04-19,2,Salish & Jordan Matter: Season 1,4,5000000,3:32,17700000,Salish & Jordan Matter,Season 1
2026-04-13,2026-04-19,3,Big Mistakes: Season 1,2,4400000,4:27,19400000,Big Mistakes,Season 1
2026-04-13,2026-04-19,4,"XO, Kitty: Season 3",3,3000000,4:20,13000000,"XO, Kitty",Season 3
2026-04-13,2026-04-19,5,"Raw: 2026 - April 13, 2026",1,2900000,1:53,5600000,Raw,"2026 - April 13, 2026"
2026-04-13,2026-04-19,6,At Home With The Furys: Season 2,1,2800000,6:00,16700000,At Home With The Furys,Season 2
2026-04-13,2026-04-19,7,The Cleaning Lady: Season 1,2,2600000,7:16,18800000,The Cleaning Lady,Season 1
2026-04-13,2026-04-19,8,Temptation Island: Season 2,1,2500000,8:43,21500000,Temptation Island,Season 2
2026-04-13,2026-04-19,9,Danny Go!: Season 1,4,2500000,2:02,5000000,Danny Go!,Season 1
2026-04-13,2026-04-19,10,BEEF: Season 2,2,2400000,5:52,14100000,BEEF,Season 2
2026-04-20,2026-04-26,1,Unchosen: Season 1,3,10400000,4:30,46900000,Unchosen,Season 1
2026-04-20,2026-04-26,2,Running Point: Season 2,3,5300000,4:47,25200000,Running Point,Season 2
2026-04-20,2026-04-26,3,BEEF: Season 2,2,4100000,5:52,23800000,BEEF,Season 2
2026-04-20,2026-04-26,4,"Raw: 2026 - April 20, 2026",1,3300000,1:59,6600000,Raw,"2026 - April 20, 2026"
2026-04-20,2026-04-26,5,Hulk Hogan: Real American: Limited Series,2,3000000,4:08,12300000,Hulk Hogan: Real American,Limited Series
2026-04-20,2026-04-26,6,Salish & Jordan Matter: Season 1,4,2900000,3:32,10100000,Salish & Jordan Matter,Season 1
2026-04-20,2026-04-26,7,Stranger Things: Tales From '85: Season 1,2,2800000,4:52,13800000,Stranger Things: Tales From '85,Season 1
2026-04-20,2026-04-26,8,Trust Me: The False Prophet: Season 1,3,2600000,3:17,8600000,Trust Me: The False Prophet,Season 1
2026-04-20,2026-04-26,9,The Staircase: Season 1,1,2600000,8:40,22700000,The Staircase,Season 1
2026-04-20,2026-04-26,10,Million Dollar Secret: Season 2,1,2600000,5:43,14600000,Million Dollar Secret,Season 2
2026-04-27,2026-05-03,1,Man on Fire: Season 1,4,11000000,5:33,61000000,Man on Fire,Season 1
2026-04-27,2026-05-03,2,Should I Marry A Murderer?: Limited Series,3,10600000,2:31,26800000,Should I Marry A Murderer?,Limited Series
2026-04-27,2026-05-03,3,Unchosen: Season 1,3,8800000,4:30,39700000,Unchosen,Season 1
2026-04-27,2026-05-03,4,Running Point: Season 2,3,6700000,4:47,32000000,Running Point,Season 2
2026-04-27,2026-05-03,5,Hulk Hogan: Real American: Limited Series,2,3100000,4:08,12900000,Hulk Hogan: Real American,Limited Series
2026-04-27,2026-05-03,6,"Raw: 2026 - April 27, 2026",1,2800000,1:47,5200000,Raw,"2026 - April 27, 2026"
2026-04-27,2026-05-03,7,Running Point: Season 1,6,2500000,5:04,12500000,Running Point,Season 1
2026-04-27,2026-05-03,8,Danny Go!: Season 1,4,2300000,2:02,4600000,Danny Go!,Season 1
2026-04-27,2026-05-03,9,Salish & Jordan Matter: Season 1,4,2200000,3:32,7700000,Salish & Jordan Matter,Season 1
2026-04-27,2026-05-03,10,Stranger Things: Tales From '85: Season 1,2,2100000,4:52,10100000,Stranger Things: Tales From '85,Season 1
2026-05-04,2026-05-10,1,Man on Fire: Season 1,4,12600000,5:33,70200000,Man on Fire,Season 1
2026-05-04,2026-05-10,2,Should I Marry A Murderer?: Limited Series,3,8000000,2:31,20100000,Should I Marry A Murderer?,Limited Series
2026-05-04,2026-05-10,3,Worst Ex Ever: Season 2,3,8000000,4:01,32000000,Worst Ex Ever,Season 2
2026-05-04,2026-05-10,4,Legends: Season 1,3,3400000,5:54,20300000,Legends,Season 1
2026-05-04,2026-05-10,5,Running Point: Season 2,3,3300000,4:47,15800000,Running Point,Season 2
2026-05-04,2026-05-10,6,Unchosen: Season 1,3,3100000,4:30,14100000,Unchosen,Season 1
2026-05-04,2026-05-10,7,"Raw: 2026 - May 4, 2026",1,2700000,1:36,4600000,Raw,"2026 - May 4, 2026"
2026-05-04,2026-05-10,8,Lord of the Flies: Limited Series,1,2500000,4:03,10300000,Lord of the Flies,Limited Series
2026-05-04,2026-05-10,9,Funny AF with Kevin Hart: Season 1 - The Live Semifinals,1,2200000,1:11,2600000,Funny AF with Kevin Hart,Season 1 - The Live Semifinals
2026-05-04,2026-05-10,10,La Brea: Season 1,3,2100000,7:11,14900000,La Brea,Season 1
2026-05-11,2026-05-17,1,The Roast of Kevin Hart,2,13500000,2:52,38600000,The Roast of Kevin Hart,
2026-05-11,2026-05-17,2,Worst Ex Ever: Season 2,3,8100000,4:01,32600000,Worst Ex Ever,Season 2
2026-05-11,2026-05-17,3,Nemesis: Season 1,2,7100000,7:47,55000000,Nemesis,Season 1
2026-05-11,2026-05-17,4,Legends: Season 1,3,6600000,5:54,38700000,Legends,Season 1
2026-05-11,2026-05-17,5,Man on Fire: Season 1,4,5500000,5:33,30300000,Man on Fire,Season 1
2026-05-11,2026-05-17,6,Devil May Cry: Season 2,2,4100000,4:46,19400000,Devil May Cry,Season 2
2026-05-11,2026-05-17,7,"Raw: 2026 - May 11, 2026",1,2600000,1:47,4800000,Raw,"2026 - May 11, 2026"
2026-05-11,2026-05-17,8,Should I Marry A Murderer?: Limited Series,3,2500000,2:31,6400000,Should I Marry A Murderer?,Limited Series
2026-05-11,2026-05-17,9,Perfect Match: Season 4,2,2300000,4:58,11300000,Perfect Match,Season 4
2026-05-11,2026-05-17,10,Danny Go!: Season 1,4,2100000,2:02,4300000,Danny Go!,Season 1
2026-05-18,2026-05-24,1,Nemesis: Season 1,2,11400000,7:47,88900000,Nemesis,Season 1
2026-05-18,2026-05-24,2,The Boroughs: Season 1,1,5600000,6:15,35300000,The Boroughs,Season 1
2026-05-18,2026-05-24,3,Worst Ex Ever: Season 2,3,3600000,4:01,14600000,Worst Ex Ever,Season 2
2026-05-18,2026-05-24,4,The Roast of Kevin Hart,2,3100000,2:52,9000000,The Roast of Kevin Hart,
2026-05-18,2026-05-24,5,Man on Fire: Season 1,4,3000000,5:33,16800000,Man on Fire,Season 1
2026-05-18,2026-05-24,6,Legends: Season 1,3,2900000,5:54,17400000,Legends,Season 1
2026-05-18,2026-05-24,7,"Raw: 2026 - May 18, 2026",1,2600000,1:43,4600000,Raw,"2026 - May 18, 2026"
2026-05-18,2026-05-24,8,Perfect Match: Season 4,2,2400000,7:04,17100000,Perfect Match,Season 4
2026-05-18,2026-05-24,9,Devil May Cry: Season 2,2,2300000,4:46,10800000,Devil May Cry,Season 2
2026-05-18,2026-05-24,10,Kylie: Limited Series,1,2100000,3:04,6400000,Kylie,Limited Series
